Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1369808562,CSY6322,NY,PAS,06/30/2014,19,SUBN,TOYOT,P,0,40404,40404,20140630,0060,60,60,937905,0060,0000,1206A,,K,O,1904,SURF,,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1371533763,FXL4398,NY,PAS,06/30/2014,46,SUBN,SATUR,P,0,40404,40404,20160515,0040,40,40,0,0040,0000,0130P,,BX,F,670,PROSPECT,,0,408,C3,,BBBBBBB,ALL,ALL,BLUE,0,2005,-,0,,,,,
1370617069,82553JZ,NY,COM,06/30/2014,95,VAN,FORD,P,15410,13113,36150,20150531,0026,26,26,942819,0026,0000,1211P,,NY,F,21,CLAREMONT AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,,,,,
1370413026,ETU8952,NY,PAS,06/30/2014,21,SUBN,TOYOT,S,26130,56820,52120,20150920,0040,40,0,980764,BX01,0000,0810A,,BX,F,247,E 149 ST,,0,408,D1,,YYYYYYB,0800A,0830A,BLUE,0,2010,-,0,,,,,
1370402405,EBV8572,NY,SRF,06/30/2014,21,SDN,TOYOT,S,50770,12550,12550,20150808,0043,43,0,875248,BX09,0000,0740A,,BX,F,99,METROPOLITAN OVAL,,0,408,D1,,YYYYYYB,0730A,0800A,GREY,0,2007,-,0,,,,,
1371096533,EPU7545,NY,PAS,06/30/2014,46,SDN,HONDA,P,0,40404,40404,20150228,0081,81,81,902700,0081,0000,0937A,,K,F,20,KANE,,0,408,F1,,BBBBBBB,ALL,ALL,GRY,0,2007,-,0,,,,,
1370384488,ESF3454,NY,PAS,06/30/2014,21,SDN,ACURA,S,29320,16620,78950,20150602,0047,47,0,515335,BX12,0000,0750A,,BX,F,1312,EAST GUNHILL ROAD,,0,408,D1,,YYYYYYB,0730A,0800A,BLACK,0,2003,-,0,,,,,
1369456281,99308MC,NY,COM,06/30/2014,45,VAN,FRUEH,P,34630,10810,10910,0,0014,14,14,934615,0014,0000,1040A,,NY,F,315,W 43 ST,,0,408,H0,,BBBBBBB,ALL,ALL,WHT,0,1998,-,0,,,,,
1367764269,BBH0827,99,PAS,06/30/2014,46,SUBN,FORD,P,70530,23930,40030,0,0083,83,83,945228,0083,0000,0933A,,K,F,93,PILLING ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1367764142,31230,NY,COM,06/30/2014,46,DELV,HINO,P,93530,56330,43330,20150430,0083,83,83,945220,0083,0000,0845A,,K,O,365,WILSON AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2006,-,0,,,,,
1365878661,FTB2178,NY,PAS,06/30/2014,21,SUBN,SUBAR,P,32130,5280,5430,20151115,0078,78,78,949742,0078,0000,0306A,,K,O,621,DEGRAW ST,,0,408,E5,,BYBBBBB,0300A,0600A,GY,0,2006,-,0,,,,,
1365876664,FPE3847,NY,PAS,06/30/2014,21,SUBN,DODGE,P,5830,5130,5280,20151004,0078,78,78,950067,0078,0000,0505A,,K,F,138,7TH ST,,0,408,C3,,BYBBYBB,0300A,0600A,RED,0,2006,-,0,,,,,
1365875647,DLJ5267,NY,PAS,06/30/2014,40,SDN,MAZDA,P,0,0,0,20151221,0078,78,78,948692,0078,0000,0218A,,K,,,C/O PRESIDENT ST,4TH AVE,0,408,C,,BBBBBBB,ALL,ALL,GREY,0,2005,-,5,,,,,
1365811207,FMC7339,NY,PAS,06/30/2014,71,SDN,MITSU,P,46230,94730,80630,20150427,0083,83,165,953645,0165,0000,1145P,,K,F,415,GROVE ST,,0,408,C,,BBBBBBB,ALL,ALL,RED,0,2010,-,0,,,,,
6020334235,GMT1853,NY,PAS,06/30/2014,94,SDN,ACURA,X,0,0,0,20160131,,0,0,351215,T108,0000,,,,,,,,0,408,5,0,BBBBBBB,ALL,ALL,BLK,0,2014,,0,0000,,,,
1371402085,63060JM,NY,COM,06/30/2014,45,DELV,MERCU,P,18830,0,0,0,0019,19,137,946314,0137,0000,0227P,,NY,,,E 93,MADISON,0,408,E1,,BBBBBBB,ALL,ALL,BROWN,0,0,-,0,,,,,
1371402050,63455JM,NY,COM,06/30/2014,45,DELV,,P,18610,10210,0,0,0019,19,137,946314,0137,0000,0216P,,NY,,,E 81,3 AVE,0,408,E1,,BBBBBBB,ALL,ALL,BROWN,0,0,-,0,,,,,
1371096570,GJZ3094,NY,PAS,06/30/2014,46,SUBN,DODGE,P,0,40404,40404,20151226,0081,81,81,902702,0081,0000,1040A,,K,F,677,MACON,,0,408,F1,,BBBBBBB,ALL,ALL,GRY,0,2008,-,0,,,,,
1371094901,POO378B,GA,PAS,06/30/2014,19,SDN,SCION,P,23230,93230,83930,0,0081,81,81,945628,0081,0000,0151P,,K,O,1013,BROADWAY,,0,408,F1,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1370577230,GHL3304,NY,PAS,06/30/2014,21,SUBN,FORD,S,20190,13240,13440,20140516,112,112,0,921378,QW08,0000,0847A,,Q,F,6405,108 ST,,0,408,D1,,YYYYYYB,0830A,0900A,BK,0,2014,-,0,,,,,
1369843896,PZD793C,PA,PAS,06/30/2014,19,SDN,LEXUS,P,0,40404,40404,0,0060,60,60,938158,0060,0000,0800P,,K,O,532,NEPTUNE,,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1370046558,ZBD36C,NJ,PAS,06/30/2014,21,SDN,BMW,S,29130,51530,94330,0,0094,94,0,867970,KN01,0000,1153A,,K,O,219,CONSELYEA ST,,0,408,K4,,BYBBBBB,1130A,0100P,SILVE,0,0,-,0,,,,,
1370192472,GFR4185,NY,PAS,06/30/2014,41,SDN,CHEVR,S,8880,5680,5780,20150609,0072,72,0,956196,KS07,0000,1205P,,K,F,664,46 STREET,,0,408,,,BYBBBBB,1130A,0100P,RED,0,2013,-,0,,,,,
1368768726,GNV7770,NY,PAS,06/30/2014,40,SUBN,CHRYS,P,5630,5880,72630,20160324,0078,78,78,952632,0078,0000,0113P,,K,O,564,5TH ST,,0,408,D1,,BBBBBBB,ALL,ALL,BL,0,2014,-,0,,,,,
1365881441,7BC9112,MD,PAS,06/30/2014,21,SDN,TOYOT,P,32130,5280,5430,0,0078,78,78,953334,0078,0000,0308A,,K,F,612,DEGRAW ST,,0,408,D1,,BYBBYBB,0300A,0600A,SILVE,0,0,-,0,,,,,
1363430233,GJM8525,NY,OMS,06/30/2014,14,SDN,JEEP,P,10810,34630,34650,20150930,0018,18,420,936431,0420,0000,0950A,,NY,F,691,8 AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0,2014,-,0,,,,,
1359654562,GDL8867,NY,PAS,06/30/2014,27,SUBN,JEEP,P,50750,48400,23460,20141226,120,120,120,929650,0120,0000,1030A,,R,F,545,TARGEE ST,,0,408,C3,,BBBBBBB,0  :,0  :,BLACK,0,2009,-,0,,,,,
1369428704,FLD1874,NY,PAS,06/30/2014,19,SUBN,TOYOT,P,77130,11130,11180,20150505,0068,68,68,922157,0068,0000,1213P,,K,O,9101,SHORE ROAD,,0,408,F1,,BBBBBBB,ALL,ALL,GY,0,2005,-,0,,,,,
1360448809,19428JR,NY,COM,06/30/2014,17,VAN,UTIL,P,21790,22490,20890,20140630,0007,7,7,901890,0007,0000,1036A,,NY,O,352 1/2,GREENWICH ST,,0,408,C4,,YYYYYBB,0700A,0700P,WH,0,0,-,0,,,,,
1353286253,82612JR,NY,COM,06/30/2014,20,DELV,CHEVR,P,35030,14510,13610,20140531,0020,20,420,886347,0420,0000,0930A,,NY,F,30,W 63 ST,,0,408,D,,YYYYYYB,0800A,0600P,WH,0,0,-,0,,,,,
1370656798,AF1950,MI,PAS,07/01/2014,46,SUBN,CHEVR,P,37250,40404,40404,20150420,0028,28,162,953673,0162,0000,0145P,,NY,F,120,W 175TH ST,,0,408,C4,,BBBBBBB,ALL,ALL,TAN,0,0,-,0,,,,,
1365080249,23626PC,NY,PAS,07/01/2014,46,DELV,FRIGH,P,29830,5030,5180,20150331,0076,76,76,942409,0076,0000,0126P,,K,F,389,COURT ST,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1367206595,63542JM,NY,COM,07/01/2014,46,DELV,GMC,X,35210,15710,11710,20141031,0020,20,20,943699,0020,0000,0525P,,NY,O,128,W 72 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BROWN,0,1990,-,0,,,,,
1353898805,AL957S,NJ,PAS,07/01/2014,46,DELV,FR/LI,P,13610,45290,32900,0,0001,1,401,926246,0401,0000,0957A,,NY,F,388,BROADWAY,,0,408,F1,,BBBBBBB,ALL,ALL,GN,0,0,-,0,,,,,
1361236875,AGY6990,NY,PAS,07/01/2014,71,SDN,TOYOT,P,21870,23840,24040,20151021,113,113,113,947498,0113,0000,1022A,,Q,O,158-08,130 AVE,,0,408,J6,,BBBBBBB,ALL,ALL,GY,0,2004,-,0,,,,,
