date,open,high,close,low,volume,amount
2016-12-23,15.25,15.25,15.03,14.99,17339349.0,261627029.0
2016-12-22,15.25,15.35,15.26,15.11,21042253.0,320306792.0
2016-12-21,15.12,15.27,15.25,15.09,18803404.0,285494781.0
2016-12-20,15.19,15.22,15.06,14.98,16265938.0,245299075.0
2016-12-19,15.28,15.33,15.17,15.12,14068049.0,214149866.0
2016-12-16,15.17,15.32,15.26,15.12,18997053.0,289451691.0
2016-12-15,15.53,15.55,15.16,15.03,56302122.0,860135187.0
2016-12-14,15.82,15.91,15.53,15.53,27230313.0,428587199.0
2016-12-13,15.59,15.95,15.85,15.57,22822088.0,361173650.0
2016-12-12,16.28,16.31,15.75,15.66,43035965.0,684331896.0
2016-12-09,16.31,16.47,16.25,16.15,29272115.0,476691666.0
2016-12-08,16.3,16.43,16.35,16.24,38417075.0,627654984.0
2016-12-07,16.01,16.35,16.19,16.0,37573572.0,609001870.0
2016-12-06,16.08,16.18,16.0,15.97,26195718.0,420609874.0
2016-12-05,16.32,16.5,16.0,16.0,46005304.0,745595645.0
2016-12-02,16.71,16.89,16.51,16.36,44137523.0,731751089.0
2016-12-01,16.54,17.12,16.73,16.5,76139887.0,1282690516.0
2016-11-30,16.69,16.76,16.4,16.3,55585253.0,913605077.0
2016-11-29,16.16,17.26,16.77,16.13,98267641.0,1648469455.0
2016-11-28,16.27,16.38,16.14,16.12,48842375.0,792818907.0
2016-11-25,15.98,16.25,16.08,15.89,58651401.0,941634957.0
2016-11-24,15.49,16.23,16.0,15.49,87197108.0,1386817242.0
2016-11-23,15.54,15.64,15.53,15.49,27857515.0,433126792.0
2016-11-22,15.46,15.52,15.49,15.4,19113255.0,295447164.0
2016-11-21,15.37,15.55,15.44,15.36,16691416.0,258184647.0
2016-11-18,15.43,15.52,15.38,15.36,16910309.0,260901414.0
2016-11-17,15.48,15.53,15.43,15.37,17590081.0,271289277.0
2016-11-16,15.52,15.61,15.51,15.48,20112684.0,312562548.0
2016-11-15,15.54,15.57,15.5,15.46,14128406.0,218973907.0
2016-11-14,15.56,15.65,15.53,15.48,25792151.0,400839610.0
2016-11-11,15.47,15.62,15.6,15.47,20781544.0,323732032.0
2016-11-10,15.48,15.56,15.5,15.44,15809958.0,245072760.0
2016-11-09,15.57,15.57,15.35,15.16,25790287.0,396646674.0
2016-11-08,15.58,15.64,15.58,15.53,16346045.0,254841984.0
2016-11-07,15.55,15.58,15.52,15.48,12030469.0,186738504.0
2016-11-04,15.68,15.71,15.51,15.49,22288802.0,347427933.0
2016-11-03,15.58,15.78,15.71,15.53,21119047.0,330958998.0
2016-11-02,15.69,15.76,15.58,15.55,15387512.0,240679340.0
2016-11-01,15.7,15.76,15.72,15.61,14220244.0,223232123.0
2016-10-31,15.55,15.71,15.68,15.48,11686576.0,182702352.0
2016-10-28,15.63,15.73,15.59,15.58,15734395.0,246121740.0
2016-10-27,15.76,15.85,15.62,15.58,27552880.0,431522918.0
2016-10-26,16.1,16.13,15.84,15.76,25524964.0,405199863.0
2016-10-25,16.17,16.17,16.07,16.02,14951141.0,240441515.0
2016-10-24,15.94,16.29,16.14,15.87,29160680.0,468952474.0
2016-10-21,15.85,16.02,15.93,15.8,19382897.0,308381513.0
2016-10-20,15.89,15.92,15.83,15.81,14482484.0,229654468.0
2016-10-19,15.84,15.97,15.89,15.78,18778344.0,298016995.0
2016-10-18,15.7,16.04,15.86,15.67,27111510.0,430155008.0
2016-10-17,15.86,15.91,15.71,15.67,13368729.0,211326980.0
2016-10-14,15.91,15.93,15.86,15.75,12443217.0,196936966.0
2016-10-13,15.87,15.96,15.94,15.82,10866708.0,172742884.0
2016-10-12,15.86,15.93,15.85,15.81,16060796.0,254564059.0
2016-10-11,16.29,16.3,15.94,15.87,31513459.0,504299462.0
2016-10-10,15.97,16.27,16.27,15.92,29147764.0,469259641.0
2016-09-30,15.73,15.91,15.87,15.72,15486480.0,245174601.0
2016-09-29,15.7,15.84,15.79,15.66,16960469.0,267252418.0
2016-09-28,15.52,15.74,15.7,15.48,20907982.0,326801182.0
2016-09-27,15.19,15.52,15.51,15.15,19173447.0,293646901.0
2016-09-26,15.47,15.47,15.2,15.2,16431567.0,251764560.0
2016-09-23,15.62,15.63,15.43,15.39,15790679.0,244105819.0
2016-09-22,15.55,15.63,15.61,15.49,14841253.0,231115193.0
2016-09-21,15.56,15.57,15.45,15.42,10740263.0,166180688.0
2016-09-20,15.62,15.64,15.53,15.5,8074326.0,125467918.0
2016-09-19,15.42,15.62,15.59,15.42,12775908.0,198498620.0
2016-09-14,15.42,15.46,15.4,15.35,12441901.0,191706134.0
2016-09-13,15.49,15.52,15.4,15.36,12431967.0,191773146.0
2016-09-12,15.59,15.67,15.42,15.34,26187999.0,405121019.0
2016-09-09,15.87,15.98,15.77,15.75,18595438.0,294946135.0
2016-09-08,15.96,16.13,15.87,15.82,21518928.0,343438667.0
2016-09-07,15.87,16.06,15.87,15.79,34637904.0,552188127.0
2016-09-06,15.79,15.92,15.82,15.55,23390642.0,368500949.0
2016-09-05,15.9,15.91,15.78,15.72,17848053.0,282273407.0
2016-09-02,15.74,15.89,15.73,15.62,26765630.0,421914744.0
2016-09-01,15.65,15.88,15.64,15.6,28832778.0,453950341.0
2016-08-31,15.7,15.74,15.6,15.56,18109547.0,283303223.0
2016-08-30,15.54,15.76,15.72,15.45,34179472.0,534151925.0
2016-08-29,15.33,15.44,15.42,15.24,20311860.0,311061441.0
2016-08-26,15.5,15.58,15.3,15.21,33132959.0,510158535.0
2016-08-25,15.74,15.74,15.45,15.27,30759497.0,475765996.0
2016-08-24,15.77,15.87,15.74,15.68,14610245.0,230230602.0
2016-08-23,15.87,16.0,15.77,15.67,25328625.0,400834721.0
2016-08-22,16.03,16.04,15.84,15.81,17673236.0,281102231.0
2016-08-19,16.27,16.32,16.06,15.91,22150343.0,355754999.0
2016-08-18,16.28,16.5,16.28,16.16,29695000.0,483548406.0
2016-08-17,16.4,16.54,16.27,16.23,24214264.0,395852074.0
2016-08-16,16.38,16.6,16.27,16.21,31659296.0,517652145.0
2016-08-15,16.0,16.57,16.38,16.0,59775430.0,978794820.0
2016-08-12,15.66,15.97,15.97,15.57,30547806.0,481366811.0
2016-08-11,15.69,15.97,15.6,15.6,31658744.0,498535458.0
2016-08-10,15.92,15.97,15.7,15.67,36620306.0,578879551.0
2016-08-09,16.1,16.29,15.95,15.82,35863350.0,572944783.0
2016-08-08,16.0,16.13,16.07,15.7,30677627.0,487115927.0
2016-08-05,16.3,16.3,16.0,15.99,26038016.0,418724784.0
2016-08-04,16.23,16.65,16.28,16.16,25101756.0,410662500.0
2016-08-03,16.23,16.39,16.29,15.98,27745355.0,449224794.0
2016-08-02,16.18,16.38,16.37,15.85,29837529.0,480480242.0
2016-08-01,16.06,16.34,16.26,15.88,41266940.0,663940951.0
2016-07-29,16.17,16.98,16.34,16.13,70069074.0,1162762137.0
2016-07-28,15.3,16.8,16.26,15.3,87661270.0,1422785900.0
2016-07-27,15.5,15.84,15.3,15.02,60643233.0,941169277.0
2016-07-26,14.87,15.56,15.44,14.83,40242528.0,616113052.0
2016-07-25,15.02,15.08,14.89,14.76,28293375.0,422124823.0
2016-07-22,15.39,15.46,15.13,15.09,23314406.0,355514940.0
2016-07-21,15.32,15.78,15.41,15.22,36224095.0,562151561.0
2016-07-20,15.3,15.5,15.24,15.19,16676928.0,255377014.0
2016-07-19,15.55,15.64,15.28,15.17,28653006.0,440549054.0
2016-07-18,15.18,15.86,15.54,15.11,75347223.0,1182199082.0
2016-07-15,15.16,15.37,15.24,14.98,38781919.0,588491548.0
2016-07-14,15.29,15.57,15.16,14.91,48890495.0,742464246.0
2016-07-13,15.3,15.81,15.3,15.15,77888561.0,1205646522.0
2016-07-12,14.07,15.44,15.44,13.99,136096515.0,2020822200.0
2016-07-11,14.0,14.14,14.04,13.96,27757013.0,390720269.0
2016-07-08,14.08,14.08,13.96,13.94,14243075.0,199116248.0
2016-07-07,14.09,14.32,14.1,13.99,29107970.0,410698165.0
2016-07-06,14.11,14.15,14.1,13.93,20024682.0,281072485.0
2016-07-05,14.1,14.34,14.1,14.07,39976920.0,567995573.0
2016-07-04,13.58,14.17,14.08,13.57,48370140.0,675319319.0
2016-07-01,13.61,13.73,13.64,13.61,17448902.0,238578425.0
2016-06-30,13.54,13.76,13.67,13.51,33374632.0,456332399.0
2016-06-29,13.52,13.56,13.49,13.42,21679619.0,292223796.0
2016-06-28,13.53,13.53,13.47,13.37,28492307.0,382897501.0
2016-06-27,13.39,13.58,13.54,13.36,23940934.0,337860269.0
2016-06-24,13.62,13.77,13.4,13.17,34419935.0,485510083.0
2016-06-23,13.49,13.78,13.62,13.47,26614560.0,380422802.0
2016-06-22,13.37,13.55,13.53,13.32,17449672.0,245585036.0
2016-06-21,13.46,13.52,13.37,13.33,25584034.0,359863991.0
2016-06-20,13.37,13.43,13.33,13.24,15944791.0,222585083.0
2016-06-17,13.45,13.57,13.42,13.37,16719336.0,235755905.0
2016-06-16,13.56,13.65,13.42,13.4,19462452.0,275969403.0
2016-06-15,13.18,13.61,13.57,13.13,25842061.0,365068048.0
2016-06-14,13.32,13.38,13.27,13.18,15975808.0,222028908.0
2016-06-13,13.5,13.68,13.32,13.31,24703491.0,349097600.0
2016-06-08,13.58,13.64,13.57,13.52,18062005.0,256697644.0
2016-06-07,13.7,13.73,13.58,13.53,35246500.0,502667489.0
2016-06-06,13.87,13.91,13.83,13.77,19460686.0,282178820.0
2016-06-03,13.67,13.89,13.84,13.66,27478783.0,397392254.0
2016-06-02,13.74,13.78,13.7,13.62,20913083.0,299697359.0
2016-06-01,13.81,13.92,13.74,13.73,27558187.0,399124040.0
2016-05-31,13.42,13.87,13.84,13.4,38808341.0,558050336.0
2016-05-30,13.4,13.47,13.4,13.28,16915712.0,237143611.0
2016-05-27,13.47,13.55,13.48,13.44,13084633.0,184984970.0
2016-05-26,13.57,13.61,13.52,13.31,15559278.0,219144799.0
2016-05-25,13.7,13.74,13.57,13.53,16449426.0,234963447.0
2016-05-24,13.72,13.89,13.68,13.52,23038881.0,330479005.0
2016-05-23,13.63,13.72,13.69,13.57,16918365.0,242130452.0
2016-05-20,13.57,13.67,13.67,13.51,11635701.0,165800629.0
2016-05-19,13.65,13.8,13.61,13.59,12097441.0,173547530.0
2016-05-18,13.75,13.76,13.67,13.46,25599451.0,364454297.0
2016-05-17,13.99,14.0,13.82,13.79,16373923.0,237612992.0
2016-05-16,13.94,13.96,13.95,13.76,14809509.0,215375250.0
2016-05-13,14.09,14.21,13.96,13.84,16505625.0,243220423.0
2016-05-12,13.95,14.23,14.11,13.76,28561884.0,419075077.0
2016-05-11,13.94,14.24,14.02,13.88,39858305.0,588004694.0
2016-05-10,13.65,14.02,13.92,13.64,33119090.0,480457120.0
2016-05-09,13.84,13.88,13.66,13.61,34535572.0,497409024.0
2016-05-06,14.48,14.55,13.97,13.94,67460256.0,1005200704.0
2016-05-05,14.89,14.89,14.46,14.45,101657208.0,1552428032.0
2016-05-04,15.26,15.31,15.14,15.07,32067908.0,509409152.0
2016-05-03,14.99,15.43,15.3,14.89,57671840.0,917629952.0
2016-04-29,14.81,15.35,15.28,14.81,35123704.0,557468032.0
2016-04-28,14.92,15.0,14.87,14.63,20979320.0,325327744.0
2016-04-27,15.13,15.13,14.96,14.9,16366232.0,257387872.0
2016-04-26,15.07,15.16,15.09,14.89,16998684.0,267775424.0
2016-04-25,14.97,15.25,15.06,14.84,22826768.0,360743360.0
2016-04-22,14.8,15.05,15.03,14.72,19217452.0,300020448.0
2016-04-21,14.94,15.06,14.84,14.82,19094896.0,298856448.0
2016-04-20,15.63,15.7,15.01,14.64,51360156.0,812956800.0
2016-04-19,15.94,15.99,15.63,15.57,39940872.0,657535808.0
2016-04-18,15.68,15.96,15.81,15.48,49956244.0,823373376.0
2016-04-15,15.61,15.97,15.66,15.48,49553772.0,815560256.0
2016-04-14,15.57,15.64,15.41,15.28,30192878.0,487011424.0
2016-04-13,15.73,15.82,15.52,15.51,45369716.0,744852736.0
2016-04-12,15.73,15.73,15.51,15.16,35012688.0,566582144.0
2016-04-11,15.18,15.68,15.65,15.16,43339156.0,702169280.0
2016-04-08,15.27,15.35,15.09,14.85,46983516.0,738812480.0
2016-04-07,15.51,15.99,15.5,15.41,59363372.0,974141056.0
2016-04-06,15.16,15.66,15.32,15.08,48042024.0,773013888.0
2016-04-05,14.9,15.39,15.27,14.9,58567320.0,934221888.0
2016-04-01,14.98,15.04,14.7,14.49,51843612.0,798596672.0
2016-03-31,14.79,15.05,15.05,13.95,91917288.0,1438728448.0
2016-03-02,13.38,13.72,13.69,13.38,12508999.0,177674992.0
2016-03-01,13.27,13.49,13.41,12.98,16304745.0,226571680.0
2016-02-29,13.76,13.82,13.21,12.94,27485128.0,381738592.0
2016-02-26,13.78,14.09,13.84,13.65,20514872.0,297891328.0
2016-02-25,14.69,14.71,13.73,13.56,31565112.0,468029024.0
2016-02-24,14.34,14.68,14.67,14.3,22645028.0,344265984.0
2016-02-23,14.64,14.64,14.42,14.24,21573392.0,326628512.0
2016-02-22,14.35,14.79,14.63,14.33,32356644.0,494803328.0
2016-02-19,14.19,14.39,14.22,14.08,17881008.0,267138256.0
2016-02-18,14.4,14.43,14.13,14.1,22967452.0,341989088.0
2016-02-17,14.28,14.41,14.31,14.14,16998366.0,254513632.0
2016-02-16,13.95,14.36,14.29,13.95,18325428.0,273401632.0
2016-02-15,13.59,14.05,13.89,13.56,11894809.0,172313008.0
2016-02-05,14.24,14.28,13.94,13.9,16105349.0,236950128.0
2016-02-04,14.42,14.51,14.24,14.18,25713672.0,385341824.0
2016-02-03,14.22,14.55,14.41,14.18,16513968.0,247688608.0
2016-02-02,14.02,14.67,14.38,14.0,21901976.0,330988736.0
2016-02-01,14.1,14.32,14.03,13.78,19820278.0,293348448.0
2016-01-29,13.59,14.21,14.09,13.43,29716760.0,436345248.0
