Season,Nation,Winners,Score,Runners-up,Runner-UpNation,Venue,Attendance
1955–56,Spain,Real Madrid,4–3,Stade de Reims, France,"Parc des Princes,Paris",38239
1956–57,Spain,Real Madrid,2–0,Fiorentina,Italy,"Santiago Bernabéu Stadium, Madrid",124000
1957–58,Spain,Real Madrid,3–2,Milan,Italy,"Heysel Stadium,Brussels",67000
1958–59,Spain,Real Madrid,2–0,Stade de Reims, France,"Neckarstadion,Stuttgart",72000
1959–60,Spain,Real Madrid,7–3,Eintracht Frankfurt,Germany,"Hampden Park,Glasgow",127621
1960–61,Portugal,Benfica,3–2,Barcelona,Spain,"Wankdorf Stadium,Bern",26732
1961–62,Portugal,Benfica,5–3,Real Madrid,Spain,"Olympisch Stadion,Amsterdam",61257
1962–63,Italy,Milan,2–1,Benfica,Portugal,"Wembley Stadium,London",45715
1963–64,Italy,Internazionale,3–1,Real Madrid,Spain,"Prater Stadium,Vienna",71333
1964–65,Italy,Internazionale,1–0,Benfica,Portugal,"San Siro, Milan",89000
1965–66,Spain,Real Madrid,2–1,Partizan,Yugoslavia,"Heysel Stadium,Brussels",46745
1966–67,Scotland,Celtic,2–1,Internazionale,Italy,"Estádio Nacional,Lisbon",45000
1967–68,England,Manchester United,4–1,Benfica,Portugal,"Wembley Stadium,London",92225
1968–69,Italy,Milan,4–1,Ajax,Netherlands,"Santiago Bernabéu Stadium, Madrid",31782
1969–70,Netherlands,Feyenoord,2–1,Celtic,Scotland,"San Siro, Milan",53187
1970–71,Netherlands,Ajax,2–0,Panathinaikos,Greece,"Wembley Stadium,London",83179
1971–72,Netherlands,Ajax,2–0,Internazionale,Italy,"De Kuip, Rotterdam",61354
1972–73,Netherlands,Ajax,1–0,Juventus,Italy,"Red Star Stadium,Belgrade",89484
1973–74,Germany,Bayern Munich,4–0,Atlético Madrid,Spain,"Heysel Stadium,Brussels",72047
1974–75,Germany,Bayern Munich,2–0,Leeds United,England,"Parc des Princes,Paris",48374
1975–76,Germany,Bayern Munich,1–0,Saint-Étienne,France,"Hampden Park,Glasgow",54864
