date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-12-23,3333.4,3334.89,3307.6,3300.88,97444712.0,-28.07,-0.84,3323.97,3349.948,3429.937,93437446.4,110550392.0,139164898.4
2016-12-22,3335.12,3340.36,3335.67,3322.72,92277248.0,-2.87,-0.09,3331.656,3368.558,3440.622,92103587.2,115836250.4,141973738.0
2016-12-21,3313.75,3342.48,3338.54,3313.75,108255000.0,29.48,0.89,3332.608,3382.005,3448.276,96640270.4,118346918.4,144647190.8
2016-12-20,3328.3,3329.1,3309.06,3289.27,87569592.0,-19.92,-0.6,3340.69,3395.726,3455.085,99790819.2,118955928.8,147353865.6
2016-12-19,3342.34,3344.86,3328.98,3325.0,81640680.0,-17.05,-0.51,3359.886,3410.735,3463.05,106497921.6,121751879.2,151401558.8
2016-12-16,3335.36,3356.29,3346.03,3330.49,90775416.0,5.6,0.17,3375.926,3424.778,3468.657,127663337.6,131673046.4,154641251.2
2016-12-15,3363.86,3378.04,3340.43,3327.14,114960664.0,-38.52,-1.14,3405.46,3443.07,3472.228,139568913.6,142231053.6,155900040.8
2016-12-14,3399.41,3412.28,3378.95,3378.27,124007744.0,-26.09,-0.77,3431.402,3465.531,3477.033,140053566.4,148752062.4,156230094.4
2016-12-13,3394.21,3416.21,3405.04,3370.6,121105104.0,-4.14,-0.12,3450.762,3481.436,3479.565,138121038.4,154207307.2,156520132.4
2016-12-12,3489.27,3495.8,3409.18,3400.79,187467760.0,-84.52,-2.42,3461.584,3497.336,3480.807,137005836.8,165788632.0,157193193.2
2016-12-09,3464.87,3507.93,3493.7,3461.76,150303296.0,23.56,0.68,3473.63,3509.926,3481.86,135682755.2,167779404.8,158482160.4
2016-12-08,3481.81,3484.34,3470.14,3466.51,117383928.0,-5.61,-0.16,3480.68,3512.686,3478.036,144893193.6,168111225.6,160906070.8
2016-12-07,3458.37,3475.75,3475.75,3445.76,114345104.0,16.6,0.48,3499.66,3514.546,3474.06,157450558.4,170947463.2,161772151.2
2016-12-06,3466.24,3477.59,3459.15,3456.81,115529096.0,-10.26,-0.3,3512.11,3514.444,3467.925,170293576.0,175751802.4,163010399.2
2016-12-05,3473.69,3496.88,3469.41,3457.34,180852352.0,-59.54,-1.69,3533.088,3515.365,3463.523,194571427.2,181051238.4,162391358.4
2016-12-02,3559.77,3562.55,3528.95,3516.79,196355488.0,-36.09,-1.01,3546.222,3512.535,3457.882,199876054.4,177609456.0,158342640.4
2016-12-01,3543.96,3575.97,3565.04,3543.24,180170752.0,27.04,0.76,3544.692,3501.386,3449.143,191329257.6,169569028.0,153728348.8
2016-11-30,3557.64,3567.07,3538.0,3527.02,178560192.0,-26.04,-0.73,3529.432,3488.535,3439.146,184444368.0,163708126.4,151030986.4
2016-11-29,3525.9,3583.72,3564.04,3521.38,236918352.0,28.96,0.82,3516.778,3477.694,3428.913,181210028.8,158832957.6,146662832.0
2016-11-28,3538.68,3553.36,3535.08,3528.32,207375488.0,13.78,0.39,3497.642,3464.277,3417.717,167531049.6,148597754.4,139473580.0
2016-11-25,3490.04,3521.3,3521.3,3463.95,153621504.0,32.56,0.93,3478.848,3453.794,3408.248,155342857.6,149184916.0,132986298.0
2016-11-24,3468.81,3508.16,3488.74,3467.01,145746304.0,14.01,0.4,3458.08,3443.386,3399.923,147808798.4,153700916.0,130206462.0
2016-11-23,3473.89,3492.96,3474.73,3465.76,162388496.0,6.37,0.18,3447.638,3433.573,3393.859,142971884.8,152596839.2,128478731.6
2016-11-22,3443.22,3469.22,3468.36,3443.22,168523456.0,27.25,0.79,3438.61,3421.405,3388.501,136455886.4,150268996.0,128010024.4
2016-11-21,3412.65,3463.14,3441.11,3412.08,146434528.0,23.65,0.69,3430.912,3411.681,3381.47,129664459.2,143731478.4,125073110.4
2016-11-18,3437.49,3443.12,3417.46,3413.27,115951208.0,-19.07,-0.56,3428.74,3403.229,3375.345,143026974.4,139075824.8,121713327.6
2016-11-17,3423.47,3437.67,3436.53,3412.88,121561736.0,6.94,0.2,3428.692,3396.9,3370.284,159593033.6,137887669.6,120974153.6
2016-11-16,3432.43,3435.64,3429.59,3419.24,129808504.0,-0.28,-0.01,3419.508,3389.756,3364.524,162221793.6,138353846.4,120039102.4
2016-11-15,3428.87,3434.92,3429.87,3415.99,134566320.0,-0.38,-0.01,3404.2,3380.132,3356.938,164082105.6,134492706.4,117854352.8
2016-11-14,3409.22,3452.62,3430.25,3408.14,213247104.0,13.03,0.38,3392.45,3371.158,3350.737,157798497.6,130349405.6,115241850.4
2016-11-11,3387.95,3422.67,3417.22,3382.89,198781504.0,26.61,0.79,3377.718,3362.702,3344.357,135124675.2,116787680.0,108640705.2
2016-11-10,3374.91,3403.02,3390.61,3374.91,134705536.0,37.56,1.12,3365.108,3356.46,3338.496,116182305.6,106712008.0,102135119.2
